row_id,question,answer,label,reason
276854,The city where the headquarters of Karolinska Institutet is located is in the country of,Sweden. The city is located in the region of Stockholm. The city is located in the country of Sweden. The city is located in the region of Stockholm. The city is located in the country of Sweden. The city is located in the region of Stockholm. The city is located in the country of Sweden. The city,success,Local classification
93473,The city where Margrete Mørch was born is in the country of,"Norway. Margrete Mørch is a member of the following lists: 20th-century Norwegian women writers, 20th-century Norwegian novelists and 20th-century Norwegian poets.
Who is Margrete Mørch?
Margrete Mørch (born 1925) is a Norwegian writer. She is",success,Local classification
276958,The city where the headquarters of University of Molise is located is in the country of,Italy. The city is located in the region of Molise. The city is located in the state of Molise. The city is located in the region of Molise. The city is located in the state of Molise. The city is located in the region of Molise. The city is located in the state,success,Local classification
54197,The father of the author of the novel The Raven is named,Edgar Allan Poe. The author of the novel The Raven is named Edgar Allan Poe. The author of the novel The Raven is named Edgar Allan Poe. The author of the novel The Raven is named Edgar Allan Poe. The author of the novel The Raven is named Edgar Allan Poe. The author of the novel The Raven is,F2_partial,"Contains intermediate hop fact (Edgar Allan Poe) but fails to provide the correct father name (David Poe, Jr.)"
27504,The author of the novel The Long Goodbye was born in the country of,"his imagination, and he has lived in the city of his imagination for the past 30 years. He has been a writer for 50 years, and he has been a novelist for 40 years. He has written 20 novels, 10 of which have been made into movies. He has also written 10",F3_other,Answer is irrelevant and does not provide the required country (United States of America) nor include intermediate facts
422764,Stanford Lyman's undergrad university has its headquarters in the city of,"Palo Alto, California. The university is a private research university and is the largest in the state of California. The university was founded in 1891 and is located in the heart of Silicon Valley. The university is known for its research in computer science, engineering, and business. The university has a strong alumni network and",F3_other,"The answer gives 'Palo Alto, California' which is incorrect; does not match the ground truth 'Berkeley' and provides no relevant hop facts."
27818,The author of the novel The Witches of Eastwick was born in the country of,the Witches of Eastwick. She was born in the country of the Witches of Eastwick. She was born in the country of the Witches of Eastwick. She was born in the country of the Witches of Eastwick. She was born in the country of the Witches of Eastwick. She,F3_other,"The answer is nonsensical, repeats irrelevant text, and does not provide the correct country (United States of America) nor the required intermediate facts."
3hop1__46253_22372_27337,Who was sent to the country where the organization that gave Britain the right to rule Palestine is located?,The answer is the United States of America. The United States of America is the only country that has ever sent a military force to the country where the organization that gave Britain the right to rule Palestine is located. The United States of America is the only country that has ever sent a military force to the country where the organization,F3_other,"The model answer gives 'United States of America' which is incorrect; the correct answer should be 'Mohieddin', and it does not include the required intermediate fact."
27302,The author of the novel Carmilla was born in the country of,"the Czech Republic. She is a writer of fiction and non-fiction. She has written several books, including the novel Carmilla, which is a gothic horror novel. The author has also written several short stories, including the short story “The Story of a Realistic Novel” and the short story “The Story of",F3_other,The answer gives 'the Czech Republic' which is incorrect; it does not match the ground truth 'Republic of Ireland' and lacks required intermediate facts.
2hop__709652_8477,"What piece by the composer of Symphony, K. 95 is used as a cliche to convey refinement?","What piece by the composer of Symphony, K. 95 is used as a cliche to convey refinement?
What piece by the composer of Symphony, K. 95 is used as a cliche to convey refinement? What piece by the composer of Symphony, K. 95 is used as a cliche to convey",F3_other,"The answer repeats the question and provides no answer, missing both the intermediate fact and the required final answer."
