reason,response_excerpt,status,uid
r1_alias_not_found,Jia Baoyu,failed,2
r2_alias_not_found,London.,failed,0
r2_alias_not_found,London.,failed,1
r2_alias_not_found,St. Petersburg,failed,3
r2_alias_not_found,St. Petersburg,failed,5
r1_alias_not_found,Juan Gálvez,failed,7
r1_alias_not_found,L. Frank Baum,failed,8
r2_alias_not_found,São Paulo.,failed,6
r2_alias_not_found,London.,failed,9
r2_alias_not_found,Copenhagen,failed,10
r2_alias_not_found,Weimar.,failed,11
r2_alias_not_found,Boston,failed,12
r1_alias_not_found,Niccolò Machiavelli,failed,15
r2_alias_not_found,New York City.,failed,14
r2_alias_not_found,Tiflis.,failed,16
r2_alias_not_found,Beijing.,failed,17
r2_alias_not_found,Paris.,failed,18
r2_alias_not_found,Paris.,failed,19
r1_alias_not_found,Frédéric Mistral,failed,22
r2_alias_not_found,Baltimore.,failed,20
r2_alias_not_found,Paris.,failed,21
r1_alias_not_found,Joseph Heller,failed,23
r2_alias_not_found,Toledo.,failed,24
r2_alias_not_found,Weimar.,failed,25
r2_alias_not_found,Bilboon (now known as Hobbiton).,failed,26
r2_alias_not_found,Amsterdam.,failed,27
r2_alias_not_found,"Topeka, Kansas.",failed,30
r1_alias_not_found,Edgar Allan Poe,failed,34
r1_alias_not_found,Bogdan Okhotinets,failed,35
r2_alias_not_found,London.,failed,33
r1_alias_not_found,Thomas Mann,failed,39
r2_alias_not_found,Copenhagen,failed,41
r2_alias_not_found,Lyon.,failed,44
r2_alias_not_found,New York City,failed,45
r1_alias_not_found,Julius Caesar,failed,46
r1_alias_not_found,John O'Hara,failed,47
r1_alias_not_found,John Keats,failed,49
r1_alias_not_found,John Steinbeck,failed,50
r2_alias_not_found,Burlington,failed,48
r2_alias_not_found,Spokane.,failed,51
r2_alias_not_found,"Edmonton, Alberta.",failed,52
r1_alias_not_found,Edith Wharton,failed,55
r1_alias_not_found,Herman Hesse,failed,56
r2_alias_not_found,Berlin,failed,54
r2_alias_not_found,Los Angeles,failed,57
r2_alias_not_found,Alma matter.,failed,58
r2_alias_not_found,Tokyo.,failed,59
r1_alias_not_found,Kathryn Stockett,failed,62
r2_alias_not_found,Mashhad.,failed,60
r1_alias_not_found,Eva Ibbotson,failed,63
r2_alias_not_found,Nottingham.,failed,61
r1_alias_not_found,George Eliot,failed,66
r1_alias_not_found,Edgar Rice Burroughs,failed,67
r2_alias_not_found,Baltimore.,failed,65
r2_alias_not_found,Tokyo.,failed,64
r1_alias_not_found,Michael Crichton,failed,68
r1_alias_not_found,George Orwell,failed,69
r1_alias_not_found,Khaled Hosseini,failed,71
r1_alias_not_found,Neil Gaiman,failed,73
r2_alias_not_found,Antium.,failed,70
r2_alias_not_found,Nuremberg.,failed,72
r1_alias_not_found,Patrick Ness,failed,75
r2_alias_not_found,New York City.,failed,74
r1_alias_not_found,Ernest Hemingway,failed,78
r2_alias_not_found,I don't have information on a person named Veronica Roth being born in a specific city.,failed,76
r1_alias_not_found,Hans Christian Andersen,failed,79
r1_alias_not_found,Giovanni Boccioni,failed,80
r1_alias_not_found,James Hilton,failed,83
r1_alias_not_found,Geoffrey Chaucer,failed,82
r1_alias_not_found,John Galsworthy,failed,84
r1_alias_not_found,Trent Reznor,failed,85
r1_alias_not_found,Rod Serling.,failed,86
r1_alias_not_found,Hans Urs Dieter Friedenfeld,failed,87
r1_alias_not_found,Hans Christian Andersen,failed,88
r1_alias_not_found,Kim Un-nam,failed,89
r1_alias_not_found,Carl Iben,failed,91
r1_alias_not_found,Edgar Lee Muscialine,failed,90
r1_alias_not_found,George Orwell,failed,92
r1_alias_not_found,Alain de Botton,failed,93
r1_alias_not_found,Niccolò Machiavelli,failed,94
r1_alias_not_found,Holly Black,failed,96
r1_alias_not_found,Lee Hyun-seung,failed,97
r1_alias_not_found,Jean-Jacques Rousseau,failed,98
r1_alias_not_found,Alma de Guzmán,failed,99
r1_alias_not_found,Apollonius of Tyana.,failed,100
r1_alias_not_found,Victor Hugo.,failed,102
r2_alias_not_found,"I'm sorry, but I cannot provide information about a Roman poet named Petronius. Can I help you with something else?",failed,95
r1_alias_not_found,Petrarch,failed,103
r1_alias_not_found,Robert Louis Stevenson,failed,104
r2_alias_not_found,New York City.,failed,101
r2_alias_not_found,Kolkata.,failed,105
r2_alias_not_found,New York City.,failed,106
r1_alias_not_found,Herman Melville,failed,108
r1_alias_not_found,Miranda Goldstein,failed,109
r1_alias_not_found,Annals of the Western Shore,failed,110
r2_alias_not_found,I don't have information on a person named Ivan Goncharov. Can you provide more context or details about who Ivan Goncharov is?,failed,107
r1_alias_not_found,Herman Melville,failed,112
r1_alias_not_found,Edith Nesbit,failed,113
r1_alias_not_found,George Orwell,failed,114
r2_alias_not_found,Seattle.,failed,111
r1_alias_not_found,Hector Degen,failed,117
r1_alias_not_found,Herman Melville,failed,118
r2_alias_not_found,Paris.,failed,115
r2_alias_not_found,"Provincetown, Massachusetts",failed,116
r1_alias_not_found,E.M. Forster,failed,121
r1_alias_not_found,Daniel Defoe,failed,122
r2_alias_not_found,Los Angeles,failed,119
r2_alias_not_found,Baltimore.,failed,120
r1_alias_not_found,Robert Graves,failed,126
r2_alias_not_found,I cannot verify which city Stephenie Meyer was born in.,failed,124
r1_alias_not_found,Hildegard von Bingen,failed,127
