uid,e1_value,e2_value,e3_value,r1_prompt,r1_expected_aliases,r1_response,r1_matched_alias,r2_prompt,r2_expected_aliases,r2_response,r2_matched_alias,fact_comp_type,category
4,The Republic,Plato,Classical Athens,The author of the novel The Republic is,Plato|Platon|Aristocles|Plátōn,Plato.,Plato,Plato was born in the city of,Classical Athens|Ancient Athens|Athens|Athens (Samian Ware Discovery Site),Athens.,Athens,birthcity of novel's author,novel-author-birthcity
13,Gulliver's Travels,Jonathan Swift,Dublin,The author of the novel Gulliver's Travels is,Jonathan Swift|Isaac Bickerstaff|M. B. Drapier|Lemuel Gulliver|Simon Wagstaff,Jonathan Swift,Jonathan Swift,Jonathan Swift was born in the city of,"Dublin|Dublin city|City of Dublin|Baile Átha Cliath|Dublin, Ireland",Dublin,Dublin,birthcity of novel's author,novel-author-birthcity
28,The Satanic Verses,Salman Rushdie,Mumbai,The author of the novel The Satanic Verses is,Salman Rushdie|Rushdie|Joseph Anton|Sir Ahmed Salman Rushdie|Ahmed Salman Rushdie,Salman Rushdie,Salman Rushdie,Salman Rushdie was born in the city of,Mumbai|Bombay,Mumbai.,Mumbai,birthcity of novel's author,novel-author-birthcity
29,The Canterbury Tales,Geoffrey Chaucer,London,The author of the novel The Canterbury Tales is,Geoffrey Chaucer|Chaucer,Geoffrey Chaucer,Geoffrey Chaucer,Geoffrey Chaucer was born in the city of,"London|London, UK|London, United Kingdom|London, England|London UK|London U.K.|Greater London|Londinium|Loñ|Lundenwic|Londinio|Londini|Londiniensium|Augusta|Trinovantum|Kaerlud|Karelundein|Lunden|Big Smoke|the Big Smoke|Lundenburh|Lundenburgh|Llyn Dain|Llan Dian|Londinion|Loniniensi|Lon.|Loñ.|Lond.|LDN",London.,London,birthcity of novel's author,novel-author-birthcity
31,Gone with the Wind,Margaret Mitchell,Atlanta,The author of the novel Gone with the Wind is,Margaret Mitchell|Margaret Munnerlyn Mitchell,Margaret Mitchell,Margaret Mitchell,Margaret Mitchell was born in the city of,"Atlanta|Terminus|Atlanta, Georgia|The Big Peach|Hotlanta|The ATL|The A|Atlanta, GA|Marthasville, Georgia|Marthasville",Atlanta.,Atlanta,birthcity of novel's author,novel-author-birthcity
32,The Grapes of Wrath,John Steinbeck,Salinas,The author of the novel The Grapes of Wrath is,"John Steinbeck|John Ernst Steinbeck, Jr.|John Ernst Steinbeck|John Ernest Steinbeck|John Ernst Steinbeck Jr|Steinbeck",John Steinbeck,John Steinbeck,John Steinbeck was born in the city of,"Salinas|Salinas, California|Salinas, CA",Salinas.,Salinas,birthcity of novel's author,novel-author-birthcity
36,Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson,Edinburgh,The author of the novel Strange Case of Dr Jekyll and Mr Hyde is,Robert Louis Stevenson|Robert Lewis Balfour Stevenson|Robert Luis Stivensoni|Shih-ti-wen-sheng|Stivenson|Robert Loui Sitivensin|Robert Louis Balfour Stevenson|Robert Lui Stivenson|RL Stivenson|RL Stevenson|RLS|R. L. Stevenson,Robert Louis Stevenson,Robert Louis Stevenson,Robert Louis Stevenson was born in the city of,"Edinburgh|Edinburg|Edinburgh, Scotland|City of Edinburgh|Edina|Modern Athens|Dùn Èideann|Auld Reekie|Athens of the North",Edinburgh.,Edinburgh,birthcity of novel's author,novel-author-birthcity
37,The Good Soldier Švejk,Jaroslav Hašek,Prague,The author of the novel The Good Soldier Švejk is,Jaroslav Hašek|I︠A︡. Gashek|I︠A︡roslav Khashek|Jaroslaw Haschek|I︠A︡roslav Gashek|I︠A︡roslav Hashek|Yaroslav Hasheḳ|Jarosław Haszek|Jaroslav Hasek,Jaroslav Hašek,Jaroslav Hašek,Jaroslav Hašek was born in the city of,Prague|Praha|Hlavní město Praha|City of Prague,Prague,Prague,birthcity of novel's author,novel-author-birthcity
38,Doctor Zhivago,Boris Pasternak,Moscow,The author of the novel Doctor Zhivago is,Boris Pasternak|Boris Leonidovich Pasternak,Boris Pasternak,Boris Pasternak,Boris Pasternak was born in the city of,"Moscow|Moskva|Moscow, Russia|Moskva Federal City, Russia|Moscow, USSR|Moskva, Russia|City of Moscow|Moscow, Russian Federation|Moscow, Soviet Union|Moscow, Russian SFSR|Москва|Moskva, Rossiya|Mosky|Moskovĭ|Moskvi|Moskve|Moskvë",Moscow.,Moscow,birthcity of novel's author,novel-author-birthcity
40,The Godfather,Mario Puzo,New York City,The author of the novel The Godfather is,Mario Puzo|Mario Cleri|Mario Gianluigi Puzo|Mario Francis Puzo,Mario Puzo,Mario Puzo,Mario Puzo was born in the city of,"New York City|NYC|the five boroughs|Big Apple|City of New York|NY City|New York, New York|New York City, New York|New York, NY|New York City, NY|Caput Mundi|The City So Nice They Named It Twice|Capital of the World|New York|New York City (NYC)|New York (city)|Center of the Universe",New York City.,New York City,birthcity of novel's author,novel-author-birthcity
