row_id,label,baseline_answer,intermediate_answer,target_token_text,target_token_id,layer_ranks_json,target_logit_per_layer_json
54197,F2_partial,Edgar Allan Poe. The author of the novel The Raven is named Edgar Allan Poe. The author of the novel The Raven is named Edgar Allan Poe. The author of the novel The Raven is named Edgar Allan Poe. The author of the novel The Raven is named Edgar Allan Poe. The author of the novel The Raven is,Edgar Allan Poe,Ed,2782,"[61044, 63421, 105034, 102380, 100613, 68335, 81940, 103195, 125530, 108533, 114789, 97995, 29028, 27541, 3785, 3956]","[-0.0140380859375, 0.0032501220703125, -0.042236328125, -0.0712890625, -0.09130859375, -0.033447265625, -0.0341796875, -0.11279296875, -0.244140625, -0.1669921875, -0.2021484375, -0.2265625, 0.0103759765625, 0.0185546875, 0.03271484375, 0.55859375]"
27302,F3_other,"the Czech Republic. She is a writer of fiction and non-fiction. She has written several books, including the novel Carmilla, which is a gothic horror novel. The author has also written several short stories, including the short story “The Story of a Realistic Novel” and the short story “The Story of",Sheridan Le Fanu,Sher,68359,"[101005, 67600, 77599, 72010, 71292, 33086, 81206, 68281, 123242, 124877, 128168, 127466, 127907, 126389, 118470, 45507]","[-0.052001953125, 0.005401611328125, -0.0159912109375, 0.00238037109375, -0.040771484375, 0.0244140625, -0.0400390625, -0.0216064453125, -0.265625, -0.34375, -0.6015625, -0.56640625, -0.80859375, -0.83203125, -1.609375, 0.310546875]"
2hop__33326_65517,F3_other,"A. Irma B. Maria C. Harvey D. Jose
In 2017, what was the name of the hurricane that hit the territory which has been suggested as a new addition to the United States? A. Irma B. Maria C. Harvey D. Jose
In 2017, what was the name",Puerto Rico,Pu,77462,"[48546, 68913, 97462, 71743, 76721, 110325, 88647, 101529, 121524, 102395, 110691, 112623, 100735, 97053, 56492, 11572]","[-0.0191650390625, -0.0264892578125, -0.06005859375, -0.013671875, -0.00189208984375, -0.0634765625, -0.03759765625, -0.05859375, -0.1591796875, -0.068359375, -0.16796875, -0.25, -0.251953125, -0.380859375, -0.890625, 1.5546875]"
3hop1__104719_66733_33264,F3_other,"The country was plunged into chaos and civil war. The Russian Empire was in ruins. The Russian Revolution was just beginning.
The Russian Revolution was a series of revolutions that took place in Russia from 1917 to 1923. The first revolution was the October Revolution of 1917, which overthrew the Russian",Russia,Russia,45606,"[70397, 69165, 46726, 4480, 5164, 20264, 60596, 48823, 48773, 31533, 49368, 15362, 7545, 2580, 9165, 3136]","[-0.03369140625, -0.029296875, 0.004486083984375, 0.07958984375, 0.11328125, 0.07861328125, -0.00921630859375, 0.0286865234375, 0.06396484375, 0.1494140625, 0.0296630859375, 0.2314453125, 0.3671875, 0.640625, -0.193359375, 2.515625]"
221843,F3_other,"Ireland. The company is called 'EA Sports' and it is a subsidiary of the company 'Electronic Arts'. The company was founded in 1982 and is headquartered in Redwood City, California. The company has a total of 10,000 employees and is listed on the NASDAQ stock exchange. The company's",Electronic Arts,Electronic,90743,"[44256, 4988, 16663, 71046, 64571, 33773, 36365, 49900, 86459, 115729, 73780, 50762, 30844, 2712, 13079, 14270]","[-0.016357421875, 0.09033203125, 0.0673828125, -0.0162353515625, -0.03955078125, 0.021728515625, 0.0294189453125, 0.005859375, -0.11083984375, -0.271484375, -0.09033203125, 0.007659912109375, 0.1064453125, 0.5625, -0.3125, 1.234375]"
54175,F3_other,"as the author of the novel Frankenstein; or, The Modern Prometheus. The father of the author of the novel Frankenstein; or, The Modern Prometheus is named as the author of the novel Frankenstein; or, The Modern Prometheus.
The father of the author of the novel Frankenstein; or, The Modern Prometheus",Mary Shelley,Mary,42584,"[25490, 33254, 50611, 109929, 60291, 23967, 27543, 58836, 37642, 11333, 23457, 14989, 1617, 5398, 1385, 3040]","[0.01312255859375, 0.03466796875, 0.03271484375, -0.08740234375, -0.018798828125, 0.056396484375, 0.06982421875, -0.0228271484375, 0.04931640625, 0.146484375, 0.1396484375, 0.1123046875, 0.310546875, 0.2294921875, 0.173828125, 1.015625]"
2hop__248941_83854,F3_other,What is the name of the country? What is the capital of the country? What is the name of the president of the country? What is the name of the country’s currency? What is the name of the country’s largest city? What is the name of the country’s largest river? What is the name of,Democratic Republic of the Congo,Democratic,90999,"[86322, 81091, 105991, 118299, 107494, 99161, 100436, 89115, 44287, 25463, 16769, 4094, 8016, 4439, 11048, 9906]","[-0.039306640625, -0.032958984375, -0.0625, -0.111328125, -0.1123046875, -0.0673828125, -0.06103515625, -0.0257568359375, 0.1220703125, 0.1630859375, 0.1923828125, 0.39453125, 0.390625, 0.498046875, -0.29296875, 1.7109375]"
91071,F3_other,the same name. The city is located in the south of the country and is the capital of the state of Lagos. The city is located on the coast of the Atlantic Ocean and is the largest city in the country. The city is also the largest city in the country and is the largest city in the country. The,Houston,Houston,79894,"[76728, 57160, 105576, 123445, 122380, 86265, 94270, 97248, 124807, 115315, 118177, 113521, 91420, 63132, 61227, 35055]","[-0.036865234375, 0.013671875, -0.0673828125, -0.140625, -0.18359375, -0.07958984375, -0.0908203125, -0.10302734375, -0.296875, -0.294921875, -0.322265625, -0.326171875, -0.2314453125, -0.07958984375, -0.90625, 0.6484375]"
4hop1__131661_85073_830682_68600,F3_other,The answer is 2010. The album was released on the label of the company of the company of the company of the company of the company of the company of the company of the company of the company of the company of the company of the company of the company of the company of the company of the company of the,Nevada,N,45,"[3779, 60565, 104151, 87916, 120496, 104110, 64746, 106856, 113656, 116030, 116268, 107977, 105514, 86890, 5931, 878]","[0.0185546875, -0.0152587890625, -0.044921875, -0.031982421875, -0.134765625, -0.08544921875, -0.01141357421875, -0.0908203125, -0.099609375, -0.1396484375, -0.20703125, -0.169921875, -0.25, -0.296875, -0.059326171875, 3.65625]"
403457,F3_other,"as the new patron of the Royal Foundation of the Duke and Duchess of Sussex.
The Duke and Duchess of Sussex have announced that the mother of the Duke of Sussex, Samantha Markle, has been named as the new patron of the Royal Foundation of the Duke and Duchess of Sussex.
The Duke and Duchess of Sussex have announced","Meghan, Duchess of Sussex",Meg,80863,"[123935, 82778, 57446, 44625, 60195, 104927, 97591, 100964, 111759, 57849, 56706, 555, 279, 19, 779, 1005]","[-0.08447265625, -0.00665283203125, 0.028564453125, 0.01055908203125, -0.03564453125, -0.09619140625, -0.080078125, -0.1162109375, -0.171875, -0.0230712890625, 0.0198974609375, 0.5234375, 0.6328125, 1.078125, 0.474609375, 1.1171875]"
