dataset,row_id,full_question,final_ground_truth,hop_questions,hop_ground_truths,hop_responses
musique,2hop__46304_83854,When did the country formerly known as Zaire become independent?,1960,"[""zaire is the former name of which african nation"", ""when did the Democratic Republic of the Congo become independent""]","[""the Democratic Republic of the Congo"", ""1960""]","[""Democratic Republic of Congo"", ""December 30, 1960""]"
musique,2hop__24612_98103,What conflict involved the most famous Confederacy army?,American Civil War,"[""What was the name of the Confederacys most famous army?"", ""What conflict involved Army of Northern Virginia ?""]","[""Army of Northern Virginia"", ""American Civil War""]","[""The Army of Northern Virginia."", ""The American Civil War.""]"
musique,2hop__14169_159501,When did the person who admitted that Apple was late to the party with writeable CD technology die?,2011,"[""Who admitted that Apple was late to the party with writable CD technology?"", ""When did Steve Jobs die?""]","[""Steve Jobs"", ""2011""]","[""Steve Jobs"", ""October 5, 2011""]"
musique,2hop__76088_79129,"Who does the actor that played the hitman in The Hitman's Bodyguard, play in The Avengers?",Nick Fury,"[""who plays the hitman in the hitman's bodyguard"", ""who does Samuel L. Jackson play in the avengers""]","[""Samuel L. Jackson"", ""Nick Fury""]","[""Samuel L. Jackson"", ""Nick Fury""]"
musique,2hop__95350_79129,Who does the cast member from Snakes on a Plane play in The Avengers?,Nick Fury,"[""Who are the cast members of Snakes on a Plane?"", ""who does Samuel L. Jackson play in the avengers""]","[""Samuel L. Jackson"", ""Nick Fury""]","[""Dwayne Johnson, Samuel L. Jackson, and Wendy Raquel Robinson."", ""Nick Fury""]"
musique,2hop__73501_31112,In what year was the psychologist who founded functional psychology born?,1842,"[""who founded the school of functionalism and what were its primary beliefs"", ""When was William James born?""]","[""William James"", ""1842""]","[""William James and John Dewey."", ""October 11, 1842""]"
musique,2hop__38555_631696,The author of Bonfire of the Vanities also wrote what famous non-fiction book?,The Electric Kool-Aid Acid Test,"[""Who wrote 'Bonfire of the Vanities'?"", ""Tom Wolfe >> notable work""]","[""Tom Wolfe"", ""The Electric Kool-Aid Acid Test""]","[""Tom Wolfe"", ""\""Bonfire of the Vanities\"", \""The Electric Kool-Aid Acid Test\"", and \""The Bonfire of the Vanities\""""]"
musique,2hop__419600_94210,Who designed the building where the Portrait of Guidobaldo da Montefeltro is on display?,Giorgio Vasari,"[""Portrait of Guidobaldo da Montefeltro >> location"", ""Who was Uffizi designed by?""]","[""Uffizi"", ""Giorgio Vasari""]","[""Uffizi Gallery, Florence, Italy"", ""Giorgio Vasari""]"
musique,2hop__96782_94210,Who designed the place where Portrait of Francesco delle Opere can be found?,Giorgio Vasari,"[""What is the name of the place where Portrait of Francesco delle Opere can be found?"", ""Who was Uffizi designed by?""]","[""Uffizi"", ""Giorgio Vasari""]","[""Uffizi Gallery in Florence, Italy"", ""Giorgio Vasari""]"
musique,2hop__96774_127733,What language is used in the place where Portrait of Bia de' Medici can be found?,Italian,"[""What is the name of the place where Portrait of Bia de' Medici can be found?"", ""What language is Uffizi in?""]","[""Uffizi"", ""Italian""]","[""Uffizi Gallery in Florence, Italy."", ""Italian""]"
musique,2hop__96774_94210,Who designed the place where the Portrait of Bia de' Medici can be found?,Giorgio Vasari,"[""What is the name of the place where Portrait of Bia de' Medici can be found?"", ""Who was Uffizi designed by?""]","[""Uffizi"", ""Giorgio Vasari""]","[""Uffizi Gallery"", ""Giorgio Vasari""]"
musique,2hop__96783_94210,Who designed the museum that has the Portrait of Guidobaldo da Montefeltro?,Giorgio Vasari,"[""What is the name of the place where Portrait of Guidobaldo da Montefeltro can be found?"", ""Who was Uffizi designed by?""]","[""Uffizi"", ""Giorgio Vasari""]","[""Uffizi Gallery in Florence, Italy"", ""Giorgio Vasari""]"
musique,2hop__154228_727337,Where is the organization which sets the standards for ISO 31000 headquartered?,Geneva,"[""Who set the standards for ISO 31000?"", ""International Organization for Standardization >> headquarters location""]","[""International Organization for Standardization"", ""Geneva""]","[""ISO/IEC 31000 is a standard that was developed by the International Organization for Standardization (ISO) and the International Electrotechnical Commission (IEC)."", ""Geneva, Switzerland""]"
musique,2hop__154223_727337,What is the headquarters location of the organization that set the standards for ISO 14051?,Geneva,"[""Who set the standards for ISO 14051?"", ""International Organization for Standardization >> headquarters location""]","[""International Organization for Standardization"", ""Geneva""]","[""The International Organization for Standardization (ISO) is responsible for setting the standards for ISO 14051."", ""Geneva, Switzerland""]"
musique,2hop__154490_727337,Where is the headquarters of the organization that set the standards for ISO 5776?,Geneva,"[""Who set the standards for ISO 5776?"", ""International Organization for Standardization >> headquarters location""]","[""International Organization for Standardization"", ""Geneva""]","[""The International Organization for Standardization (ISO)"", ""Geneva, Switzerland""]"
musique,2hop__154485_727337,Where is the headquarters for the organization that set the standards for ISO 3307?,Geneva,"[""Who set the standards for ISO 3307?"", ""International Organization for Standardization >> headquarters location""]","[""International Organization for Standardization"", ""Geneva""]","[""The International Organization for Standardization (ISO) is responsible for setting the standards for ISO 3307."", ""Geneva, Switzerland""]"
musique,2hop__154229_727337,Where is the headquarters of the organization that set the standards for ISO 3103?,Geneva,"[""Who set the standards for ISO 3103?"", ""International Organization for Standardization >> headquarters location""]","[""International Organization for Standardization"", ""Geneva""]","[""The International Organization for Standardization (ISO)"", ""Geneva, Switzerland""]"
musique,2hop__154225_727337,What is the headquarters for the organization who sets the standards for ISO 21500?,Geneva,"[""Who set the standards for ISO 21500?"", ""International Organization for Standardization >> headquarters location""]","[""International Organization for Standardization"", ""Geneva""]","[""The International Organization for Standardization (ISO) is responsible for setting the standards for ISO 21500."", ""Geneva, Switzerland""]"
musique,2hop__154227_727337,Where are the headquarters of the agency that sets the standards for ISO 26000?,Geneva,"[""Who set the standards for ISO 26000?"", ""International Organization for Standardization >> headquarters location""]","[""International Organization for Standardization"", ""Geneva""]","[""The International Organization for Standardization (ISO) is responsible for setting the standards for ISO 26000."", ""Geneva, Switzerland""]"
musique,2hop__154360_727337,Where are the headquarters for the organization which sets the standards for ISO 965 located?,Geneva,"[""Who set the standards for ISO 965?"", ""International Organization for Standardization >> headquarters location""]","[""International Organization for Standardization"", ""Geneva""]","[""The International Organization for Standardization (ISO) is responsible for setting the standards for ISO 965."", ""Geneva, Switzerland""]"
musique,2hop__2047_10984,What year was the start of the New York-based newspaper that has won the Pulitzer Prize for journalism?,1851,"[""Which New York-based newspaper has won the Pulitzer Prize for journalism?"", ""What year did The New York Times start?""]","[""The New York Times"", ""1851""]","[""The New York Times"", ""1851""]"
musique,2hop__856003_53910,Who was the U.S. president immediately after the conflict in which the HMS Nairana served?,Thomas Woodrow Wilson,"[""HMS Nairana >> conflict"", ""who was president of the united states immediately following World War i""]","[""World War"", ""Thomas Woodrow Wilson""]","[""HMS Nairana was involved in a naval battle during World War I."", ""Woodrow Wilson""]"
musique,2hop__73587_65919,Who is the coach of the biggest university campus in the U.S.?,Scott Frost,"[""what is the biggest university campus in the us"", ""who's the coach of University of Central Florida""]","[""University of Central Florida"", ""Scott Frost""]","[""University of Central Florida - 1,508 acres"", ""Scott Frost""]"
musique,2hop__149881_136477,What place is the setting of the novel where Lucy Westenra appeared?,Transylvania,"[""The appearance of Lucy Westenra is seen in what work?"", ""Which place is Dracula in?""]","[""Dracula"", ""Transylvania""]","[""Dracula."", ""Transylvania.""]"
