row_id,label,baseline_answer,baseline_success,intermediate_answer,final_answers_json,source_layer,source_rank,source_token_text,target_layer,patched_answer,patched_success,improvement,intermediate_token_ids_json,intermediate_token_texts_json,best_ranks_json,best_logits_json,best_indices_json
54197,F2_partial,Edgar Allan Poe. The author of the novel The Raven is named Edgar Allan Poe. The author of the novel The Raven is named Edgar Allan Poe. The author of the novel The Raven is named Edgar Allan Poe. The author of the novel The Raven is named Edgar Allan Poe. The author of the novel The Raven is,False,Edgar Allan Poe,"[""David Poe, Jr.""]",13,1,Poe,2,Edgar Edgar Edgar Edgar Edgar Edgar Edgar Edgar Edgar Edgar Edgar Edgar in in in in in in in in in in in in in in in in in in in in,False,0,"[2782, 12440, 61325, 82695]","[""Ed"", ""gar"", ""Allan"", ""Poe""]","[31952, 7798, 37456, 24443, 28111, 43812, 35465, 63230, 48318, 3456, 2111, 7, 9, 1, 5, 9]","[0.65625, 3.453125, 1.6640625, 1.7109375, 1.171875, 0.248046875, 1.03125, -0.470703125, 0.72265625, 3.640625, 4.46875, 8.75, 8.5, 10.75, 7.34375, 13.0625]","[1, 2, 1, 2, 2, 1, 2, 3, 2, 3, 3, 3, 3, 3, 3, 3]"
54197,F2_partial,Edgar Allan Poe. The author of the novel The Raven is named Edgar Allan Poe. The author of the novel The Raven is named Edgar Allan Poe. The author of the novel The Raven is named Edgar Allan Poe. The author of the novel The Raven is named Edgar Allan Poe. The author of the novel The Raven is,False,Edgar Allan Poe,"[""David Poe, Jr.""]",13,1,Poe,4,Edgar Edgar in in in in in in in in in in in in in in in in in in in in in in in in in in in in in in,False,0,"[2782, 12440, 61325, 82695]","[""Ed"", ""gar"", ""Allan"", ""Poe""]","[31952, 7798, 37456, 24443, 28111, 43812, 35465, 63230, 48318, 3456, 2111, 7, 9, 1, 5, 9]","[0.65625, 3.453125, 1.6640625, 1.7109375, 1.171875, 0.248046875, 1.03125, -0.470703125, 0.72265625, 3.640625, 4.46875, 8.75, 8.5, 10.75, 7.34375, 13.0625]","[1, 2, 1, 2, 2, 1, 2, 3, 2, 3, 3, 3, 3, 3, 3, 3]"
54197,F2_partial,Edgar Allan Poe. The author of the novel The Raven is named Edgar Allan Poe. The author of the novel The Raven is named Edgar Allan Poe. The author of the novel The Raven is named Edgar Allan Poe. The author of the novel The Raven is named Edgar Allan Poe. The author of the novel The Raven is,False,Edgar Allan Poe,"[""David Poe, Jr.""]",13,1,Poe,6,in in in in in in in in in in in in in here here here here here here here here here here here here here here here here here here here,False,0,"[2782, 12440, 61325, 82695]","[""Ed"", ""gar"", ""Allan"", ""Poe""]","[31952, 7798, 37456, 24443, 28111, 43812, 35465, 63230, 48318, 3456, 2111, 7, 9, 1, 5, 9]","[0.65625, 3.453125, 1.6640625, 1.7109375, 1.171875, 0.248046875, 1.03125, -0.470703125, 0.72265625, 3.640625, 4.46875, 8.75, 8.5, 10.75, 7.34375, 13.0625]","[1, 2, 1, 2, 2, 1, 2, 3, 2, 3, 3, 3, 3, 3, 3, 3]"
54197,F2_partial,Edgar Allan Poe. The author of the novel The Raven is named Edgar Allan Poe. The author of the novel The Raven is named Edgar Allan Poe. The author of the novel The Raven is named Edgar Allan Poe. The author of the novel The Raven is named Edgar Allan Poe. The author of the novel The Raven is,False,Edgar Allan Poe,"[""David Poe, Jr.""]",13,1,Poe,8,in in in in in in in in in in in in in in in in in in in in in in in in in here in here in here here here,False,0,"[2782, 12440, 61325, 82695]","[""Ed"", ""gar"", ""Allan"", ""Poe""]","[31952, 7798, 37456, 24443, 28111, 43812, 35465, 63230, 48318, 3456, 2111, 7, 9, 1, 5, 9]","[0.65625, 3.453125, 1.6640625, 1.7109375, 1.171875, 0.248046875, 1.03125, -0.470703125, 0.72265625, 3.640625, 4.46875, 8.75, 8.5, 10.75, 7.34375, 13.0625]","[1, 2, 1, 2, 2, 1, 2, 3, 2, 3, 3, 3, 3, 3, 3, 3]"
27302,F3_other,"the Czech Republic. She is a writer of fiction and non-fiction. She has written several books, including the novel Carmilla, which is a gothic horror novel. The author has also written several short stories, including the short story “The Story of a Realistic Novel” and the short story “The Story of",False,Sheridan Le Fanu,"[""Republic of Ireland""]",15,258,Le,2,the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,False,0,"[68359, 56304, 2009, 25744, 84]","[""Sher"", ""idan"", ""Le"", ""Fan"", ""u""]","[305, 9132, 17109, 10224, 298, 3437, 26566, 10850, 6102, 3727, 20650, 4326, 6433, 8994, 1402, 258]","[4.875, 3.6875, 2.609375, 3.453125, 5.65625, 3.484375, 1.59375, 2.671875, 2.703125, 3.0625, 1.1484375, 3.34375, 2.78125, 2.453125, 1.8046875, 13.6875]","[3, 3, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2]"
27302,F3_other,"the Czech Republic. She is a writer of fiction and non-fiction. She has written several books, including the novel Carmilla, which is a gothic horror novel. The author has also written several short stories, including the short story “The Story of a Realistic Novel” and the short story “The Story of",False,Sheridan Le Fanu,"[""Republic of Ireland""]",15,258,Le,4,the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,False,0,"[68359, 56304, 2009, 25744, 84]","[""Sher"", ""idan"", ""Le"", ""Fan"", ""u""]","[305, 9132, 17109, 10224, 298, 3437, 26566, 10850, 6102, 3727, 20650, 4326, 6433, 8994, 1402, 258]","[4.875, 3.6875, 2.609375, 3.453125, 5.65625, 3.484375, 1.59375, 2.671875, 2.703125, 3.0625, 1.1484375, 3.34375, 2.78125, 2.453125, 1.8046875, 13.6875]","[3, 3, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2]"
27302,F3_other,"the Czech Republic. She is a writer of fiction and non-fiction. She has written several books, including the novel Carmilla, which is a gothic horror novel. The author has also written several short stories, including the short story “The Story of a Realistic Novel” and the short story “The Story of",False,Sheridan Le Fanu,"[""Republic of Ireland""]",15,258,Le,6,the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,False,0,"[68359, 56304, 2009, 25744, 84]","[""Sher"", ""idan"", ""Le"", ""Fan"", ""u""]","[305, 9132, 17109, 10224, 298, 3437, 26566, 10850, 6102, 3727, 20650, 4326, 6433, 8994, 1402, 258]","[4.875, 3.6875, 2.609375, 3.453125, 5.65625, 3.484375, 1.59375, 2.671875, 2.703125, 3.0625, 1.1484375, 3.34375, 2.78125, 2.453125, 1.8046875, 13.6875]","[3, 3, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2]"
27302,F3_other,"the Czech Republic. She is a writer of fiction and non-fiction. She has written several books, including the novel Carmilla, which is a gothic horror novel. The author has also written several short stories, including the short story “The Story of a Realistic Novel” and the short story “The Story of",False,Sheridan Le Fanu,"[""Republic of Ireland""]",15,258,Le,8,the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the the,False,0,"[68359, 56304, 2009, 25744, 84]","[""Sher"", ""idan"", ""Le"", ""Fan"", ""u""]","[305, 9132, 17109, 10224, 298, 3437, 26566, 10850, 6102, 3727, 20650, 4326, 6433, 8994, 1402, 258]","[4.875, 3.6875, 2.609375, 3.453125, 5.65625, 3.484375, 1.59375, 2.671875, 2.703125, 3.0625, 1.1484375, 3.34375, 2.78125, 2.453125, 1.8046875, 13.6875]","[3, 3, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2]"
2hop__33326_65517,F3_other,"A. Irma B. Maria C. Harvey D. Jose
In 2017, what was the name of the hurricane that hit the territory which has been suggested as a new addition to the United States? A. Irma B. Maria C. Harvey D. Jose
In 2017, what was the name",False,Puerto Rico,"[""Hurricane Maria""]",15,5151,Pu,2,a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a,False,0,"[77462, 14200, 34248]","[""Pu"", ""erto"", ""Rico""]","[35064, 16808, 43527, 62681, 48198, 101585, 72008, 52558, 26838, 41034, 46798, 66325, 55742, 67742, 22086, 5151]","[-0.70703125, 1.125, 0.00135040283203125, 0.031982421875, 1.2578125, -0.88671875, 0.08544921875, 1.078125, 2.625, 1.796875, 1.1875, -0.058349609375, 0.1455078125, -0.65234375, -1.65625, 8.8125]","[0, 1, 1, 0, 2, 2, 0, 2, 1, 1, 1, 1, 1, 0, 0, 0]"
2hop__33326_65517,F3_other,"A. Irma B. Maria C. Harvey D. Jose
In 2017, what was the name of the hurricane that hit the territory which has been suggested as a new addition to the United States? A. Irma B. Maria C. Harvey D. Jose
In 2017, what was the name",False,Puerto Rico,"[""Hurricane Maria""]",15,5151,Pu,4,a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a a,False,0,"[77462, 14200, 34248]","[""Pu"", ""erto"", ""Rico""]","[35064, 16808, 43527, 62681, 48198, 101585, 72008, 52558, 26838, 41034, 46798, 66325, 55742, 67742, 22086, 5151]","[-0.70703125, 1.125, 0.00135040283203125, 0.031982421875, 1.2578125, -0.88671875, 0.08544921875, 1.078125, 2.625, 1.796875, 1.1875, -0.058349609375, 0.1455078125, -0.65234375, -1.65625, 8.8125]","[0, 1, 1, 0, 2, 2, 0, 2, 1, 1, 1, 1, 1, 0, 0, 0]"
